,Group,PD,SR,J,J_loess_prediction,J_residuals,J_highlight_high,J_highlight_low,R2
146,KUR,-0.7043448340749994,-0.8686427403087341,-0.0339370301332621,0.10730472005537409,-0.1412417501886362,False,False,0.009295374433878179
148,KZN,-2.289487945482032,-2.0137945668490214,1.0066176217268064,0.47717566722889126,0.5294419544979151,False,False,0.009295374433878179
149,LAB,-1.1472098202811292,-1.213130445937304,-0.0066741302647249,0.3254277379109078,-0.3321018681756327,False,False,0.009295374433878179
150,LAO,1.7998782333000327,1.6682034251296716,-0.8370969860089885,0.011328326688207806,-0.8484253126971963,False,False,0.009295374433878179
151,LBR,0.9513961585247428,1.204599274217144,-0.2433931506105777,-0.046592458994942056,-0.19680069161563565,False,False,0.009295374433878179
152,LBS,-0.1995583022388139,0.0765290130562803,-0.2299771200872073,-0.04101033607042581,-0.1889667840167815,False,False,0.009295374433878179
153,LBY,-0.5163956959416253,-0.2373600847840067,-1.700484167397266,0.03136753733453572,-1.7318517047318016,False,False,0.009295374433878179
154,LDV,-0.4103955426171011,-0.6123776352883421,0.7097147191354634,-0.0023170776739494686,0.7120317968094129,False,False,0.009295374433878179
155,LEE,0.360152584295806,0.3175208796893813,-0.3210595756130309,-0.06896079589693703,-0.25209877971609385,False,False,0.009295374433878179
156,LES,-0.6803996225191898,-0.9708682891234034,-1.0036509825303337,0.09566603298582214,-1.0993170155161558,False,False,0.009295374433878179
157,LOU,-0.2075495706840561,-0.3478112764350301,-0.915515344657872,-0.040363376619557814,-0.8751519680383142,False,False,0.009295374433878179
158,LSI,0.9976906283526756,0.762974568606399,0.244383730888695,-0.04341466518174662,0.2877983960704416,False,False,0.009295374433878179
159,MAG,-1.3086737389980398,-0.7758306895441908,1.0380719652277062,0.3627464698073514,0.6753254954203547,False,False,0.009295374433878179
160,MAI,-0.4809653179802796,-0.6123776352883421,-0.8854839213877517,0.018724271142300308,-0.904208192530052,False,False,0.009295374433878179
161,MAN,-0.66961133933481,-0.5395487887108873,-0.1848665324856473,0.0905396815772573,-0.2754062140629046,False,False,0.009295374433878179
162,MAS,-0.5404369373855582,-0.6908187644805573,-1.031346588768083,0.04103754083081589,-1.072384129598899,False,False,0.009295374433878179
